id,Year,City,Country,Countries,Participants,Men,Women,Sports,Events,latitude,longitude
0,2014,Sochi,Russia,89,"2,749","1,643","1,103",15,98,43.60280789999999,39.7341543
1,2010,Vancouver,Canada,82,"2,536","1,503","1,033",15,86,49.2827291,-123.1207375
2,2006,Torino,Italy,79,"2,494","1,539",955,15,84,45.070312,7.686856499999999
3,2002,Salt Lake City,United States,77,"2,399","1,513",886,15,78,40.7607793,-111.8910474
4,1998,Nagano,Japan,72,"2,180","1,390",789,14,68,36.6485829,138.1947709
5,1994,Lillehammer,Norway,67,"1,738","1,215",522,12,61,61.1152713,10.4662306
6,1992,Albertville,France,64,"1,801","1,312",488,12,57,45.675535,6.392726
7,1988,Calgary,Canada,57,"1,427","1,109",315,11,46,51.0486151,-114.0708459
8,1984,Sarajevo,Yugoslavia,49,"1,273",996,277,10,39,43.8562586,18.4130763
9,1980,Lake Placid,United States,37,"1,072",837,235,10,38,44.2794911,-73.9798713
10,1976,Innsbruck,Austria,37,"1,129",897,231,10,37,47.2692124,11.4041024
11,1972,Sapporo,Japan,35,"1,008",802,206,10,35,43.0620958,141.3543763
12,1968,Grenoble,France,37,"1,160",949,211,10,35,45.188529,5.724524
13,1964,Innsbruck,Austria,36,"1,094",894,200,10,34,47.2692124,11.4041024
14,1960,Squaw Valley,United States,30,665,521,144,8,27,39.197607,-120.2354422
15,1956,Cortina d'Ampezzo,Italy,32,821,689,132,8,24,46.5404711,12.1356524
16,1952,Oslo,Norway,30,694,585,109,8,22,59.9138688,10.7522454
17,1948,Sankt Moritz,Switzerland,28,668,591,77,9,22,46.4907973,9.8355079
18,1936,Garmisch-Partenkirchen,Germany,28,668,588,80,8,17,47.4916945,11.0954984
19,1932,Lake Placid,United States,17,253,231,21,8,14,44.2794911,-73.9798713
20,1928,Sankt Moritz,Switzerland,25,461,433,28,8,13,46.4907973,9.8355079
21,1924,Chamonix,France,19,313,300,13,10,17,45.923697,6.869433
